TLC2 Version 2.19 of 08 August 2024 (rev: 5a47802)
Running breadth-first search Model-Checking with fp 41 and seed -598648575451411514 with 128 workers on 128 cores with 406240MB heap and 64MB offheap memory [pid: 100234] (Linux 7.0.0-1004-aws amd64, Ubuntu 25.0.3-ea x86_64, MSBDiskFPSet, DiskStateQueue).
Parsing file /home/ubuntu/summerset/tla+/bodega_roster_lease/Bodega_MC.tla
Parsing file /home/ubuntu/summerset/tla+/bodega_roster_lease/Bodega.tla
Parsing file /tmp/FiniteSets.tla
Parsing file /tmp/Sequences.tla
Parsing file /tmp/Integers.tla
Parsing file /tmp/TLC.tla
Parsing file /tmp/Naturals.tla
Semantic processing of module Naturals
Semantic processing of module Sequences
Semantic processing of module FiniteSets
Semantic processing of module Integers
Semantic processing of module TLC
Semantic processing of module Bodega
Semantic processing of module Bodega_MC
Starting... (2026-05-12 06:17:01)
Computing initial states...
Finished computing initial states: 1 distinct state generated at 2026-05-12 06:17:06.
Progress(12) at 2026-05-12 06:17:09: 81,623 states generated (81,623 s/min), 35,648 distinct states found (35,648 ds/min), 23,808 states left on queue.
Progress(24) at 2026-05-12 07:09:09: 430,345,214 states generated (8,025,337 s/min), 145,550,889 distinct states found (2,833,836 ds/min), 47,104,336 states left on queue.
Progress(24) at 2026-05-12 07:10:09: 438,680,122 states generated (8,334,908 s/min), 148,350,127 distinct states found (2,799,238 ds/min), 47,853,614 states left on queue.
Progress(24) at 2026-05-12 07:11:09: 446,991,963 states generated (8,311,841 s/min), 151,142,202 distinct states found (2,792,075 ds/min), 48,649,360 states left on queue.
Progress(24) at 2026-05-12 07:12:09: 455,349,555 states generated (8,357,592 s/min), 153,926,137 distinct states found (2,783,935 ds/min), 49,335,651 states left on queue.
Progress(24) at 2026-05-12 07:13:09: 463,341,996 states generated (7,992,441 s/min), 156,747,261 distinct states found (2,821,124 ds/min), 50,004,901 states left on queue.
Progress(24) at 2026-05-12 07:14:09: 471,530,357 states generated (8,188,361 s/min), 159,559,631 distinct states found (2,812,370 ds/min), 50,702,150 states left on queue.
Progress(24) at 2026-05-12 07:15:09: 479,618,466 states generated (8,088,109 s/min), 162,378,679 distinct states found (2,819,048 ds/min), 51,393,048 states left on queue.
Progress(24) at 2026-05-12 07:16:09: 488,004,222 states generated (8,385,756 s/min), 165,166,829 distinct states found (2,788,150 ds/min), 52,143,181 states left on queue.
Checkpointing of run /home/ubuntu/tlc-states/0511-231656/26-05-12-06-17-01
Checkpointing completed at (2026-05-12 07:17:14)
Progress(24) at 2026-05-12 07:17:14: 496,749,049 states generated (8,744,827 s/min), 168,121,565 distinct states found (2,954,736 ds/min), 53,008,929 states left on queue.
Progress(24) at 2026-05-12 07:18:14: 505,069,653 states generated (8,320,604 s/min), 170,919,822 distinct states found (2,798,257 ds/min), 53,726,916 states left on queue.
Progress(24) at 2026-05-12 07:19:14: 513,399,188 states generated (8,329,535 s/min), 173,730,969 distinct states found (2,811,147 ds/min), 54,487,135 states left on queue.
Progress(24) at 2026-05-12 07:20:14: 521,794,515 states generated (8,395,327 s/min), 176,532,461 distinct states found (2,801,492 ds/min), 55,212,378 states left on queue.
Progress(24) at 2026-05-12 07:21:14: 529,863,149 states generated (8,068,634 s/min), 179,332,624 distinct states found (2,800,163 ds/min), 55,970,322 states left on queue.
Progress(24) at 2026-05-12 07:22:14: 537,872,728 states generated (8,009,579 s/min), 182,161,489 distinct states found (2,828,865 ds/min), 56,708,209 states left on queue.
Progress(24) at 2026-05-12 07:23:14: 546,016,017 states generated (8,143,289 s/min), 184,969,806 distinct states found (2,808,317 ds/min), 57,434,805 states left on queue.
Progress(24) at 2026-05-12 07:24:15: 554,391,498 states generated (8,375,481 s/min), 187,762,077 distinct states found (2,792,271 ds/min), 58,175,532 states left on queue.
Progress(24) at 2026-05-12 07:25:15: 562,671,003 states generated (8,279,505 s/min), 190,572,524 distinct states found (2,810,447 ds/min), 58,808,514 states left on queue.
Progress(24) at 2026-05-12 07:26:15: 571,039,766 states generated (8,368,763 s/min), 193,360,881 distinct states found (2,788,357 ds/min), 59,507,974 states left on queue.
Progress(24) at 2026-05-12 07:27:15: 579,274,746 states generated (8,234,980 s/min), 196,172,657 distinct states found (2,811,776 ds/min), 60,156,200 states left on queue.
Progress(25) at 2026-05-12 07:28:15: 587,385,636 states generated (8,110,890 s/min), 198,997,939 distinct states found (2,825,282 ds/min), 60,859,727 states left on queue.
Progress(25) at 2026-05-12 07:29:15: 595,583,429 states generated (8,197,793 s/min), 201,812,473 distinct states found (2,814,534 ds/min), 61,583,150 states left on queue.
Progress(25) at 2026-05-12 07:30:15: 603,367,748 states generated (7,784,319 s/min), 204,652,363 distinct states found (2,839,890 ds/min), 62,221,359 states left on queue.
Progress(25) at 2026-05-12 07:31:15: 611,440,341 states generated (8,072,593 s/min), 207,471,116 distinct states found (2,818,753 ds/min), 62,863,194 states left on queue.
Progress(25) at 2026-05-12 07:32:15: 619,390,980 states generated (7,950,639 s/min), 210,303,332 distinct states found (2,832,216 ds/min), 63,526,753 states left on queue.
Progress(25) at 2026-05-12 07:33:15: 627,750,932 states generated (8,359,952 s/min), 213,099,144 distinct states found (2,795,812 ds/min), 64,214,637 states left on queue.
Progress(25) at 2026-05-12 07:34:15: 635,949,173 states generated (8,198,241 s/min), 215,888,457 distinct states found (2,789,313 ds/min), 64,935,827 states left on queue.
Progress(25) at 2026-05-12 07:35:15: 644,273,911 states generated (8,324,738 s/min), 218,682,099 distinct states found (2,793,642 ds/min), 65,577,458 states left on queue.
Progress(25) at 2026-05-12 07:36:15: 652,449,539 states generated (8,175,628 s/min), 221,499,566 distinct states found (2,817,467 ds/min), 66,218,117 states left on queue.
Progress(25) at 2026-05-12 07:37:15: 660,412,476 states generated (7,962,937 s/min), 224,317,353 distinct states found (2,817,787 ds/min), 66,801,700 states left on queue.
Progress(25) at 2026-05-12 07:38:15: 668,411,999 states generated (7,999,523 s/min), 227,131,446 distinct states found (2,814,093 ds/min), 67,433,597 states left on queue.
Progress(25) at 2026-05-12 07:39:15: 676,282,527 states generated (7,870,528 s/min), 229,966,410 distinct states found (2,834,964 ds/min), 68,083,614 states left on queue.
Progress(25) at 2026-05-12 07:40:15: 684,494,528 states generated (8,212,001 s/min), 232,756,781 distinct states found (2,790,371 ds/min), 68,741,550 states left on queue.
Progress(25) at 2026-05-12 07:41:15: 692,721,581 states generated (8,227,053 s/min), 235,548,336 distinct states found (2,791,555 ds/min), 69,451,471 states left on queue.
Progress(25) at 2026-05-12 07:42:15: 700,989,618 states generated (8,268,037 s/min), 238,333,796 distinct states found (2,785,460 ds/min), 70,229,951 states left on queue.
Progress(25) at 2026-05-12 07:43:15: 709,221,064 states generated (8,231,446 s/min), 241,133,857 distinct states found (2,800,061 ds/min), 70,889,753 states left on queue.
Progress(25) at 2026-05-12 07:44:15: 717,437,792 states generated (8,216,728 s/min), 243,931,671 distinct states found (2,797,814 ds/min), 71,587,617 states left on queue.
Progress(25) at 2026-05-12 07:45:15: 725,616,464 states generated (8,178,672 s/min), 246,736,937 distinct states found (2,805,266 ds/min), 72,312,494 states left on queue.
Progress(25) at 2026-05-12 07:46:15: 733,937,142 states generated (8,320,678 s/min), 249,549,462 distinct states found (2,812,525 ds/min), 72,979,881 states left on queue.
Checkpointing of run /home/ubuntu/tlc-states/0511-231656/26-05-12-06-17-01
Checkpointing completed at (2026-05-12 07:47:20)
Progress(25) at 2026-05-12 07:47:20: 742,705,127 states generated (8,767,985 s/min), 252,616,433 distinct states found (3,066,971 ds/min), 73,757,872 states left on queue.
Progress(25) at 2026-05-12 07:48:20: 750,566,493 states generated (7,861,366 s/min), 255,439,905 distinct states found (2,823,472 ds/min), 74,464,066 states left on queue.
Progress(25) at 2026-05-12 07:49:20: 758,719,340 states generated (8,152,847 s/min), 258,264,616 distinct states found (2,824,711 ds/min), 75,166,023 states left on queue.
Progress(25) at 2026-05-12 07:50:20: 766,782,854 states generated (8,063,514 s/min), 261,086,057 distinct states found (2,821,441 ds/min), 75,840,581 states left on queue.
Progress(25) at 2026-05-12 07:51:20: 775,035,203 states generated (8,252,349 s/min), 263,874,274 distinct states found (2,788,217 ds/min), 76,518,648 states left on queue.
Progress(25) at 2026-05-12 07:52:20: 783,338,352 states generated (8,303,149 s/min), 266,673,462 distinct states found (2,799,188 ds/min), 77,144,887 states left on queue.
Progress(25) at 2026-05-12 07:53:20: 791,588,802 states generated (8,250,450 s/min), 269,487,591 distinct states found (2,814,129 ds/min), 77,724,158 states left on queue.
Progress(25) at 2026-05-12 07:54:20: 799,752,163 states generated (8,163,361 s/min), 272,301,791 distinct states found (2,814,200 ds/min), 78,331,006 states left on queue.
Progress(25) at 2026-05-12 07:55:20: 807,801,631 states generated (8,049,468 s/min), 275,122,417 distinct states found (2,820,626 ds/min), 78,922,192 states left on queue.
Progress(25) at 2026-05-12 07:56:20: 815,813,095 states generated (8,011,464 s/min), 277,941,561 distinct states found (2,819,144 ds/min), 79,552,447 states left on queue.
Progress(26) at 2026-05-12 07:57:20: 823,704,669 states generated (7,891,574 s/min), 280,779,521 distinct states found (2,837,960 ds/min), 80,192,010 states left on queue.
Progress(26) at 2026-05-12 07:58:20: 831,507,810 states generated (7,803,141 s/min), 283,620,541 distinct states found (2,841,020 ds/min), 80,797,183 states left on queue.
Progress(26) at 2026-05-12 07:59:20: 839,395,656 states generated (7,887,846 s/min), 286,453,764 distinct states found (2,833,223 ds/min), 81,360,525 states left on queue.
Progress(26) at 2026-05-12 08:00:20: 847,428,987 states generated (8,033,331 s/min), 289,271,406 distinct states found (2,817,642 ds/min), 81,972,039 states left on queue.
Progress(26) at 2026-05-12 08:01:20: 855,254,653 states generated (7,825,666 s/min), 292,106,698 distinct states found (2,835,292 ds/min), 82,609,215 states left on queue.
Progress(26) at 2026-05-12 08:02:20: 863,527,576 states generated (8,272,923 s/min), 294,910,859 distinct states found (2,804,161 ds/min), 83,236,784 states left on queue.
Progress(26) at 2026-05-12 08:03:20: 871,902,024 states generated (8,374,448 s/min), 297,696,181 distinct states found (2,785,322 ds/min), 83,875,543 states left on queue.
Progress(26) at 2026-05-12 08:04:20: 879,787,537 states generated (7,885,513 s/min), 300,522,972 distinct states found (2,826,791 ds/min), 84,492,901 states left on queue.
Progress(26) at 2026-05-12 08:05:20: 888,057,329 states generated (8,269,792 s/min), 303,320,644 distinct states found (2,797,672 ds/min), 85,068,079 states left on queue.
Progress(26) at 2026-05-12 08:06:20: 896,066,218 states generated (8,008,889 s/min), 306,136,354 distinct states found (2,815,710 ds/min), 85,620,823 states left on queue.
Progress(26) at 2026-05-12 08:07:20: 904,071,350 states generated (8,005,132 s/min), 308,963,970 distinct states found (2,827,616 ds/min), 86,184,286 states left on queue.
Progress(26) at 2026-05-12 08:08:20: 911,848,001 states generated (7,776,651 s/min), 311,801,468 distinct states found (2,837,498 ds/min), 86,682,958 states left on queue.
Progress(26) at 2026-05-12 08:09:20: 919,931,400 states generated (8,083,399 s/min), 314,609,030 distinct states found (2,807,562 ds/min), 87,301,341 states left on queue.
Progress(26) at 2026-05-12 08:10:20: 927,719,724 states generated (7,788,324 s/min), 317,459,523 distinct states found (2,850,493 ds/min), 87,874,931 states left on queue.
Progress(26) at 2026-05-12 08:11:20: 935,933,371 states generated (8,213,647 s/min), 320,247,628 distinct states found (2,788,105 ds/min), 88,493,797 states left on queue.
Progress(26) at 2026-05-12 08:12:20: 944,068,720 states generated (8,135,349 s/min), 323,043,741 distinct states found (2,796,113 ds/min), 89,118,384 states left on queue.
Progress(26) at 2026-05-12 08:13:20: 952,105,745 states generated (8,037,025 s/min), 325,843,153 distinct states found (2,799,412 ds/min), 89,773,529 states left on queue.
Progress(26) at 2026-05-12 08:14:20: 960,121,318 states generated (8,015,573 s/min), 328,651,413 distinct states found (2,808,260 ds/min), 90,480,251 states left on queue.
